,Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year
2332,13/8/2021,31/12/2021,Interim Dividend,27/8/2021,14/9/2021,0.07,Currency,3816,2021
2333,6/5/2021,31/12/2021,Interim Dividend,24/5/2021,9/6/2021,0.07,Currency,3816,2021
2334,18/2/2021,31/12/2020,Interim Dividend,4/3/2021,16/3/2021,0.12,Currency,3816,2020
2335,17/11/2020,31/12/2020,Interim Dividend,2/12/2020,15/12/2020,0.07,Currency,3816,2020
2336,13/8/2020,31/12/2020,Interim Dividend,27/8/2020,15/9/2020,0.07,Currency,3816,2020
2337,8/5/2020,31/12/2020,Interim Dividend,22/5/2020,9/6/2020,0.07,Currency,3816,2020
2338,18/2/2020,31/12/2019,Special Dividend,2/3/2020,17/3/2020,0.03,Currency,3816,2019
2339,18/2/2020,31/12/2019,Interim Dividend,2/3/2020,17/3/2020,0.09,Currency,3816,2019
2340,13/11/2019,31/12/2019,Interim Dividend,26/11/2019,10/12/2019,0.07,Currency,3816,2019
2341,14/8/2019,31/12/2019,Interim Dividend,27/8/2019,18/9/2019,0.07,Currency,3816,2019
2342,24/5/2019,31/12/2019,Interim Dividend,10/6/2019,25/6/2019,0.07,Currency,3816,2019
2343,22/2/2019,31/12/2018,Interim Dividend,6/3/2019,26/3/2019,0.09,Currency,3816,2018
2344,19/11/2018,31/12/2018,Interim Dividend,30/11/2018,18/12/2018,0.07,Currency,3816,2018
2345,7/8/2018,31/12/2018,Interim Dividend,17/8/2018,14/9/2018,0.07,Currency,3816,2018
2346,14/5/2018,31/12/2018,Interim Dividend,24/5/2018,12/6/2018,0.07,Currency,3816,2018
2347,27/5/2021,31/12/2020,First and Final Dividend,23/7/2021,13/8/2021,0.005,Currency,9571,2020
2348,30/4/2019,31/12/2018,First and Final Dividend,17/7/2019,2/8/2019,0.015,Currency,9571,2018
2349,18/3/2020,30/6/2020,Interim Dividend,28/5/2020,17/6/2020,0.01,Currency,8893,2020
2350,29/11/2022,30/9/2022,First Interim Dividend,20/12/2022,6/1/2023,0.04,Currency,6114,2022
2351,29/11/2021,30/9/2021,First Interim Dividend,22/12/2021,7/1/2022,0.035,Currency,6114,2021
2352,27/11/2020,30/9/2020,First Interim Dividend,22/12/2020,8/1/2021,0.03,Currency,6114,2020
2353,27/11/2019,30/9/2019,First Interim Dividend,17/12/2019,3/1/2020,0.04,Currency,6114,2019
2354,30/11/2018,30/9/2018,First Interim Dividend,21/12/2018,10/1/2019,0.035,Currency,6114,2018
2355,29/11/2022,30/9/2022,First Interim Dividend,20/12/2022,6/1/2023,0.04,Currency,85,2022
2356,29/11/2021,30/9/2021,First Interim Dividend,22/12/2021,7/1/2022,0.035,Currency,85,2021
2357,27/11/2020,30/9/2020,First Interim Dividend,22/12/2020,8/1/2021,0.03,Currency,85,2020
2358,27/11/2019,30/9/2019,First Interim Dividend,17/12/2019,3/1/2020,0.04,Currency,85,2019
2359,30/11/2018,30/9/2018,First Interim Dividend,21/12/2018,10/1/2019,0.035,Currency,85,2018
2360,14/11/2019,30/6/2020,Interim Dividend,22/11/2019,10/12/2019,0.005,Currency,3027,2020
2361,18/8/2022,31/12/2022,First Interim Dividend,13/9/2022,13/10/2022,0.01,Currency,113,2022
2362,25/2/2022,31/12/2021,Second Interim Dividend,21/3/2022,20/4/2022,0.01,Currency,113,2021
2363,25/8/2021,31/12/2021,First Interim Dividend,23/9/2021,15/10/2021,0.01,Currency,113,2021
2364,25/8/2020,31/12/2020,First Interim Dividend,24/9/2020,16/10/2020,0.01,Currency,113,2020
2365,25/2/2020,31/12/2019,Second Interim Dividend,19/3/2020,17/4/2020,0.01,Currency,113,2019
2366,28/8/2019,31/12/2019,First Interim Dividend,25/9/2019,18/10/2019,0.01,Currency,113,2019
2367,25/2/2019,31/12/2018,Second interim dividend,18/3/2019,17/4/2019,0.01,Currency,113,2018
2368,28/8/2018,31/12/2018,First Interim Dividend,24/9/2018,18/10/2018,0.01,Currency,113,2018
2369,18/8/2022,31/12/2022,First Interim Dividend,13/9/2022,13/10/2022,0.01,Currency,245,2022
2370,25/2/2022,31/12/2021,Second Interim Dividend,21/3/2022,20/4/2022,0.01,Currency,245,2021
2371,25/8/2021,31/12/2021,First Interim Dividend,23/9/2021,15/10/2021,0.01,Currency,245,2021
2372,25/8/2020,31/12/2020,First Interim Dividend,24/9/2020,16/10/2020,0.01,Currency,245,2020
2373,25/2/2020,31/12/2019,Second Interim Dividend,19/3/2020,17/4/2020,0.01,Currency,245,2019
2374,28/8/2019,31/12/2019,First Interim Dividend,25/9/2019,18/10/2019,0.01,Currency,245,2019
2375,25/2/2019,31/12/2018,Second interim dividend,18/3/2019,17/4/2019,0.01,Currency,245,2018
2376,28/8/2018,31/12/2018,First Interim Dividend,24/9/2018,18/10/2018,0.01,Currency,245,2018
2377,27/7/2022,31/3/2022,Final Dividend,7/10/2022,31/10/2022,0.025,Currency,6459,2022
2378,24/9/2021,31/3/2021,Final Dividend,8/10/2021,27/10/2021,0.04,Currency,6459,2021
2379,17/9/2020,31/3/2021,Interim Dividend,1/10/2020,23/10/2020,0.03,Currency,6459,2021
2380,31/10/2019,31/3/2020,Interim Dividend (with Dividend Re-Investment Plan),13/11/2019,12/12/2019,0.025,Currency,6459,2020
2381,30/5/2022,31/12/2022,First Interim Dividend,17/6/2022,8/7/2022,0.005,Currency,229,2022
2382,30/8/2022,31/12/2022,Interim Dividend,13/9/2022,28/9/2022,0.05,Currency,5237,2022
2383,25/11/2022,31/12/2022,Interim Dividend,25/11/2022,21/12/2022,0.005,Currency,5296,2022
2384,4/8/2022,31/12/2022,Interim Dividend,24/8/2022,21/9/2022,0.006,Currency,5296,2022
2385,13/5/2022,31/12/2022,Interim Dividend,2/6/2022,24/6/2022,0.007,Currency,5296,2022
2386,16/2/2022,31/12/2021,Interim Dividend,3/3/2022,1/4/2022,0.009,Currency,5296,2021
2387,2/11/2021,31/12/2021,Interim Dividend,29/11/2021,23/12/2021,0.0065,Currency,5296,2021
2388,5/8/2021,31/12/2021,Interim Dividend,26/8/2021,23/9/2021,0.006,Currency,5296,2021
2389,30/4/2021,31/12/2021,Interim Dividend,20/5/2021,17/6/2021,0.008,Currency,5296,2021
2390,17/2/2021,31/12/2020,Interim Dividend,11/3/2021,8/4/2021,0.007,Currency,5296,2020
2391,5/11/2020,31/12/2020,Interim Dividend,30/11/2020,18/12/2020,0.0073,Currency,5296,2020
2392,10/3/2022,31/12/2021,Final Dividend,28/3/2022,7/4/2022,0.03,Currency,5202,2021
