,div_announced_year,div_ex_date,div_dividend(RM),div_stock_code,div_year,div_status,stock_close,dividend_y_%
773,2019-02-28,2019-03-13,0.0231,5121,2018,Y,0.877,2.634
774,2019-02-21,2019-03-13,0.04,3859,2018,Y,2.142,1.867
775,2019-03-01,2019-03-13,0.005,0201,2019,Y,0.455,1.099
776,2019-02-26,2019-03-13,0.014,7231,2019,Y,1.059,1.322
777,2019-02-27,2019-03-13,0.01,3662,2018,Y,0.675,1.481
778,2019-02-26,2019-03-13,0.125,6351,2018,Y,5.275,2.37
779,2019-02-14,2019-03-13,0.0145,5127,2018,Y,0.652,2.224
780,2019-02-28,2019-03-13,0.01,5272,2018,Y,1.038,0.963
781,2019-02-28,2019-03-13,0.02,7167,2018,Y,1.231,1.625
782,2019-02-28,2019-03-13,0.012,5095,2018,Y,0.553,2.17
783,2019-02-21,2019-03-13,0.015,0166,2019,Y,1.387,1.081
784,2019-02-27,2019-03-14,0.005,0127,2018,Y,1.103,0.453
785,2019-02-26,2019-03-14,0.01,7085,2019,Y,1.236,0.809
786,2019-02-26,2019-03-14,0.015,8869,2018,Y,2.184,0.687
787,2019-02-27,2019-03-14,0.15,6645,2019,Y,0.338,44.379
788,2019-02-26,2019-03-14,0.02,4863,2018,Y,2.936,0.681
789,2019-02-13,2019-03-15,0.03,5208,2018,Y,0.56,5.357
790,2019-02-28,2019-03-15,0.1131,5031,2018,Y,2.661,4.25
791,2019-03-04,2019-03-15,0.025,7216,2019,Y,1.653,1.512
792,2019-03-04,2019-03-15,0.017,7237,2019,Y,1.211,1.404
793,2019-02-28,2019-03-15,0.0925,5031,2018,Y,2.661,3.476
794,2019-02-12,2019-03-18,0.015,7106,2019,Y,0.551,2.722
795,2019-03-04,2019-03-18,0.02,5024,2018,Y,0.839,2.384
796,2019-02-25,2019-03-18,0.01,0113,2018,Y,0.858,1.166
797,2019-03-06,2019-03-19,0.025,8079,2018,Y,0.81,3.086
798,2019-02-20,2019-03-19,0.03,5236,2019,Y,1.048,2.863
799,2019-02-25,2019-03-20,0.035,5263,2018,Y,1.601,2.186
800,2019-02-22,2019-03-20,0.0125,0090,2018,Y,0.916,1.365
801,2019-03-08,2019-03-21,0.08,6017,2019,Y,1.943,4.117
802,2019-03-08,2019-03-21,0.014,5130,2019,Y,0.857,1.634
803,2019-02-26,2019-03-25,0.01,7172,2018,Y,0.661,1.513
804,2019-03-13,2019-03-25,0.12,1023,2018,Y,4.459,2.691
805,2019-03-14,2019-03-27,0.02,7076,2018,Y,0.978,2.045
806,2019-02-27,2019-03-27,0.01,5288,2018,Y,0.989,1.011
807,2019-03-13,2019-03-27,0.23,5347,2018,Y,10.436,2.204
808,2019-04-04,2019-03-27,0.005,0040,2019,Y,0.194,2.577
809,2019-02-19,2019-03-27,0.005,5878,2019,Y,0.941,0.531
