,stock_name,stock_code
393,JAKS RESOURCES BERHAD,4723.KL
394,JASA KITA BERHAD,8648.KL
395,JAYA TIASA HOLDINGS BHD,4383.KL
396,JAYCORP BERHAD,7152.KL
397,JCBNEXT BERHAD,0058.KL
398,JCY INTERNATIONAL BERHAD,5161.KL
399,JENTAYU SUSTAINABLES BERHAD,5673.KL
400,JERASIA CAPITAL BERHAD,8931.KL
401,JF TECHNOLOGY BERHAD,0146.KL
402,JHM CONSOLIDATION BERHAD,0127.KL
403,JIANKUN INTERNATIONAL BERHAD,8923.KL
404,JISHAN BERHAD,03040.KL
405,JKG LAND BERHAD,6769.KL
406,JOE HOLDING BERHAD,7096.KL
407,JOHAN HOLDINGS BERHAD,3441.KL
408,K. SENG SENG CORPORATION BERHAD,5192.KL
409,KAMDAR GROUP (M) BERHAD,8672.KL
410,KANGER INTERNATIONAL BERHAD,0170.KL
411,KAREX BERHAD,5247.KL
412,KARYON INDUSTRIES BERHAD,0054.KL
413,KAWAN FOOD BERHAD,7216.KL
414,KECK SENG (MALAYSIA) BERHAD,3476.KL
415,KEIN HING INTERNATIONAL BERHAD,7199.KL
416,KEJURUTERAAN ASASTERA BERHAD,0193.KL
417,KELINGTON GROUP BERHAD,0151.KL
418,KEN HOLDINGS BERHAD,7323.KL
419,KENANGA INVESTMENT BANK BERHAD,6483.KL
420,KENANGA KLCI DAILY (-1X) INVERSE ETF,0835EA.KL
421,KENANGA KLCI DAILY 2X LEVERAGED ETF,0834EA.KL
422,KERJAYA PROSPEK GROUP BERHAD,7161.KL
423,KERJAYA PROSPEK PROPERTY BERHAD,7077.KL
424,KESM INDUSTRIES BERHAD,9334.KL
425,KEY ALLIANCE GROUP BERHAD,0036.KL
426,KEY ASIC BERHAD,0143.KL
427,KHEE SAN BERHAD,6203.KL
428,KHIND HOLDINGS BERHAD,7062.KL
429,KIA LIM BERHAD,6211.KL
430,KIM HIN INDUSTRY BERHAD,5371.KL
431,KIM HIN JOO (MALAYSIA) BERHAD,0210.KL
432,KIM LOONG RESOURCES BERHAD,5027.KL
433,KIM TECK CHEONG CONSOLIDATED BERHAD,0180.KL
434,KIMLUN CORPORATION BERHAD,5171.KL
435,KIP REAL ESTATE INVESTMENT TRUST,5280.KL
436,KKB ENGINEERING BERHAD,9466.KL
437,KLCC PROPERTY HOLDINGS BERHAD,5235SS.KL
438,KLUANG RUBBER COMPANY (MALAYA) BERHAD,2453.KL
439,KNM GROUP BERHAD,7164.KL
440,KNUSFORD BERHAD,5035.KL
