,quar_stock_code,quar_year,quar_eps,quar_dps,quar_roe(%)
605,0822EA,2020,-0.002,0.0,-0.1
606,0822EA,2021,0.0,0.0,0.0
607,0822EA,2022,0.001,0.0,0.0
608,0824EA,2018,0.078,0.028,0.0
609,0824EA,2019,0.016,0.028,0.0
610,0824EA,2020,0.19,0.03,0.0
611,0824EA,2021,-0.094,0.0,0.0
612,0824EA,2022,-0.125,0.0,0.0
613,0825EA,2018,-0.05,0.015,0.0
614,0825EA,2019,0.061,0.02,0.0
615,0825EA,2020,-0.138,0.022,0.0
616,0825EA,2021,-0.029,0.0,0.0
617,0825EA,2022,0.024,0.0,0.0
618,0829EA,2019,0.007,0.0,0.1
619,0829EA,2020,0.005,0.002,0.1
620,0829EA,2021,-2.284,0.0,-37.2
621,0829EA,2022,-0.398,0.0,-7.0
622,0829EB,2019,0.002,0.0,0.1
623,0829EB,2020,0.001,0.0,0.1
624,0829EB,2021,-0.548,0.048,-37.1
625,0829EB,2022,-0.09,0.0,-7.0
626,0837EA,2021,0.027,0.005,2.6
627,0837EA,2022,-0.002,0.055,-0.3999999999999999
628,0837EA,2023,-0.114,0.015,-13.7
629,1015,2018,0.376,0.15,6.8
630,1015,2019,0.5,0.2,8.8
631,1015,2020,0.446,0.133,7.4
632,1015,2021,-1.272,0.0,-27.6
633,1015,2022,0.456,0.05,9.3
634,1015,2023,0.258,0.06,5.0
635,1023,2018,0.597,0.25,11.5
636,1023,2019,0.47,0.26,8.399999999999999
637,1023,2020,0.12,0.048,2.2
638,1023,2021,0.429,0.23,7.4
639,1023,2022,0.397,0.13,6.8
640,1058,2018,0.13,0.07,3.2
641,1058,2019,0.129,0.07,3.1
642,1058,2020,0.189,0.07,4.5
643,1058,2021,0.416,0.07,9.4
644,1058,2022,0.12,0.0,2.8000000000000003
645,1066,2018,0.574,0.205,10.0
646,1066,2019,0.619,0.31,9.9
647,1066,2020,0.507,0.176,7.6
648,1066,2021,0.647,0.4,9.5
649,1066,2022,0.464,0.15,6.9
650,1082,2018,1.667,0.4,11.0
651,1082,2019,1.678,0.42,10.2
652,1082,2020,1.636,0.38,9.2
653,1082,2021,1.998,0.4,10.2
654,1082,2022,2.162,0.46,10.399999999999999
655,1082,2023,0.601,0.0,2.8
656,1155,2018,0.742,0.57,11.100000000000001
657,1155,2019,0.734,0.64,10.3
