,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
467,0151,2020,Y,1.881,0.015
468,0151,2021,Y,1.224,0.015
469,0151,2022,Y,0.806,0.01
470,0152,2018,N,0.0,0.0
471,0152,2019,N,0.0,0.0
472,0152,2020,N,0.0,0.0
473,0152,2021,N,0.0,0.0
474,0152,2022,N,0.0,0.0
475,0153,2018,N,0.0,0.0
476,0153,2019,N,0.0,0.0
477,0153,2020,N,0.0,0.0
478,0153,2021,N,0.0,0.0
479,0153,2022,N,0.0,0.0
480,0154,2018,N,0.0,0.0
481,0154,2019,N,0.0,0.0
482,0154,2020,N,0.0,0.0
483,0154,2021,N,0.0,0.0
484,0154,2022,N,0.0,0.0
485,0155,2019,Y,110.0,0.22
486,0156,2018,N,0.0,0.0
487,0156,2019,N,0.0,0.0
488,0156,2020,N,0.0,0.0
489,0156,2021,N,0.0,0.0
490,0156,2022,N,0.0,0.0
491,0157,2018,Y,9.434,0.01
492,0157,2019,Y,12.178,0.025
493,0157,2020,Y,5.127000000000001,0.02
494,0157,2021,Y,2.874,0.02
495,0157,2022,Y,3.692,0.03
496,0158,2018,Y,7.852,0.034
497,0158,2019,Y,7.198,0.034
498,0158,2021,Y,2.857,0.01
499,0159,2018,N,0.0,0.0
500,0159,2019,N,0.0,0.0
501,0159,2020,N,0.0,0.0
502,0159,2021,N,0.0,0.0
503,0159,2022,N,0.0,0.0
504,0160,2018,N,0.0,0.0
505,0160,2019,N,0.0,0.0
506,0160,2020,N,0.0,0.0
507,0160,2021,N,0.0,0.0
508,0160,2022,N,0.0,0.0
509,0161,2018,N,0.0,0.0
510,0161,2019,N,0.0,0.0
511,0161,2020,N,0.0,0.0
512,0161,2021,N,0.0,0.0
513,0161,2022,N,0.0,0.0
514,0162,2018,N,0.0,0.0
515,0162,2019,N,0.0,0.0
516,0162,2020,N,0.0,0.0
517,0162,2021,N,0.0,0.0
518,0162,2022,N,0.0,0.0
519,0163,2020,Y,1.552,0.025
520,0163,2021,Y,2.0540000000000003,0.04
521,0165,2018,N,0.0,0.0
522,0165,2019,N,0.0,0.0
523,0165,2020,N,0.0,0.0
524,0165,2021,N,0.0,0.0
525,0165,2022,N,0.0,0.0
526,0166,2018,Y,4.413,0.084
527,0166,2019,Y,3.585,0.052
528,0166,2020,Y,2.966,0.044
529,0166,2021,Y,3.78,0.11
